email,firstname,lastname,phone
maria.santos@email.com,Maria,Santos,09171234567
juan.delacruz@gmail.com,Juan,Dela Cruz,09281234567
ana.reyes@yahoo.com,Ana,Reyes,09391234567
carlos.lopez@outlook.com,Carlos,Lopez,09451234567
sofia.garcia@email.com,Sofia,Garcia,09561234567
miguel.torres@gmail.com,Miguel,Torres,09671234567
isabella.hernandez@yahoo.com,Isabella,Hernandez,09781234567
diego.martinez@outlook.com,Diego,Martinez,09891234567
valentina.rodriguez@email.com,Valentina,Rodriguez,09901234567
alejandro.gonzalez@gmail.com,Alejandro,Gonzalez,09121234567
